ID,F1,F2,F3,F4,F5,F6
1,31,48,20,17,28,18
2,31,47,19,17,27,20
3,36,51,19,18,32,17
4,32,54,12,15,30,16
5,37,47,22,19,36,19
6,36,51,20,23,37,24
7,36,56,22,19,29,22
8,39,49,18,21,29,16
9,36,52,21,22,30,19
10,35,58,28,19,40,23
11,33,48,20,19,31,20
12,38,56,28,22,29,19
13,30,45,18,16,33,18
14,30,52,23,18,31,18
15,30,49,17,19,30,23
16,30,54,26,23,31,11
17,32,55,18,18,29,21
18,33,51,6,14,22,23
19,36,55,21,19,39,21
20,31,46,17,16,27,16
21,32,60,22,21,26,17
22,36,55,12,18,33,17
23,30,51,22,16,35,21
24,34,51,17,20,28,21
25,38,53,24,17,24,18
26,29,49,16,16,27,17
27,32,51,20,19,31,19
28,27,50,20,11,27,18
29,29,53,16,17,23,18
30,31,47,18,19,31,15
31,36,57,22,20,35,22
32,34,50,19,15,30,21
33,29,52,18,16,28,21
34,38,57,16,24,33,21
35,31,52,17,20,27,19
36,25,47,14,22,34,19
37,36,55,16,21,30,23
38,25,48,10,12,29,16
39,23,45,15,16,25,15
40,36,56,17,21,29,20
41,24,44,17,12,20,12
42,34,52,23,17,35,18
43,36,56,14,16,32,23
44,32,54,20,18,33,20
45,38,58,17,21,32,20
46,26,57,23,19,33,20
47,27,51,21,17,26,19
48,36,54,20,16,37,19
49,32,49,17,19,28,20
50,32,49,22,19,29,16
51,34,52,24,17,29,23
52,32,51,18,20,30,19
53,39,56,22,18,34,22
54,38,58,25,19,38,22
55,31,48,24,18,27,18
56,35,51,14,17,26,16
57,39,60,21,24,32,18
58,35,51,15,19,24,18
59,35,53,24,16,31,23
60,38,57,29,16,30,18
61,29,53,22,25,34,19
62,34,53,23,23,31,19
63,34,49,18,18,32,17
64,37,56,23,18,32,19
65,30,49,24,25,26,10
66,28,52,9,16,30,17
67,38,58,25,20,37,21
68,38,56,23,14,33,18
69,40,60,23,24,29,21
70,36,60,23,22,38,24
71,40,59,22,21,37,21
72,35,55,22,17,27,16
73,38,57,30,23,30,17
74,35,56,24,16,27,22
75,30,51,20,21,32,15
76,37,50,16,19,33,19
77,32,48,24,19,30,18
78,33,49,13,18,28,20
79,36,54,15,21,32,19
80,40,58,28,25,33,23
81,38,57,22,20,29,20
82,30,53,20,18,29,21
83,30,56,18,17,34,21
84,31,49,20,19,27,17
85,29,52,20,24,32,14
86,31,47,11,16,29,12
87,31,52,15,18,27,17
88,36,52,21,20,31,16
89,31,49,21,17,31,16
90,36,54,17,20,33,17
91,34,58,21,25,31,20
92,30,52,16,17,38,18
93,39,55,15,23,37,20
94,30,51,24,17,28,22
95,37,59,25,16,33,21
96,34,52,19,18,35,22
97,30,53,13,16,26,17
98,36,58,18,24,37,17
99,36,53,19,18,33,21
100,26,49,18,18,27,21
101,32,49,19,18,30,16
102,31,48,23,16,32,17
103,32,56,23,19,33,21
104,30,48,23,18,26,15
105,30,48,18,13,28,17
106,35,45,22,13,32,18
107,36,51,17,21,30,16
108,32,54,25,20,27,17
109,32,56,22,24,28,18
110,37,59,19,22,33,23
111,33,46,24,19,25,15
112,38,54,23,20,31,17
113,35,52,23,22,33,18
114,33,50,21,24,26,17
115,35,50,24,21,25,20
116,33,54,14,13,32,20
117,39,55,24,19,31,20
118,28,49,21,17,31,17
119,32,49,18,20,29,17
120,37,57,22,22,32,19
121,24,55,6,24,17,16
122,33,52,21,16,26,16
123,29,43,17,19,25,15
124,37,56,22,17,37,19
125,32,47,23,18,29,18
126,35,46,12,21,31,19
127,31,49,20,17,32,20
128,32,53,22,16,30,19
129,29,51,14,13,31,17
130,35,51,23,24,35,18
131,39,58,22,19,32,23
132,38,57,22,18,34,24
133,31,48,18,18,28,12
134,31,54,17,19,31,13
135,39,51,22,22,32,19
136,37,59,13,21,32,21
137,34,44,15,10,30,17
138,33,52,20,21,32,23
139,34,52,21,13,36,23
140,30,49,18,16,29,18
141,34,58,20,22,28,20
142,38,54,21,16,35,20
143,36,49,16,16,27,22
144,39,50,23,16,33,20
145,37,54,13,20,29,18
146,37,50,13,14,35,22
147,33,51,20,16,29,19
148,30,52,15,16,30,16
149,35,55,18,23,28,21
150,38,59,28,24,29,21
151,40,58,9,25,34,22
152,33,49,22,13,35,17
153,27,51,21,20,34,17
154,40,60,24,19,34,19
155,27,46,21,16,29,17
156,39,54,24,25,36,24
157,40,57,22,16,33,24
158,34,50,15,20,32,18
159,26,48,12,16,26,14
160,31,51,22,17,28,18
161,32,48,22,20,32,18
162,33,47,23,14,28,17
163,35,51,25,22,30,22
164,37,57,24,19,33,24
165,38,57,9,21,32,23
166,33,51,21,17,30,13
167,30,47,22,17,31,18
168,38,53,20,15,37,18
169,35,49,20,20,27,17
170,39,59,27,23,38,23
171,35,57,18,15,33,22
172,40,57,26,21,33,20
173,30,56,19,16,34,21
174,36,55,25,21,38,20
175,38,59,24,20,26,22
176,33,54,21,16,32,16
177,39,57,25,22,32,17
178,32,45,22,15,34,16
179,36,54,22,19,31,21
180,36,57,23,23,34,16
181,39,57,25,23,32,20
182,35,48,20,16,35,16
183,36,48,20,16,33,17
184,33,48,9,18,30,22
185,39,59,13,24,24,20
186,39,54,25,22,28,19
187,37,53,23,18,33,15
188,36,56,23,21,32,21
189,35,57,23,18,29,18
190,37,58,15,20,30,19
191,33,60,22,23,37,22
192,32,55,25,15,36,22
193,33,55,22,16,32,19
194,28,56,18,20,31,17
195,32,47,15,16,28,18
196,34,50,22,20,25,23
197,36,56,24,19,30,21
198,35,47,21,14,29,19
199,34,54,21,20,27,21
200,33,52,21,20,29,14
201,31,52,20,18,25,19
202,30,49,20,20,33,18
203,39,60,24,22,34,22
204,37,57,30,19,28,14
205,39,49,16,18,31,18
206,34,48,22,16,31,16
207,38,59,12,15,28,22
208,31,52,24,18,34,19
209,37,52,24,17,30,16
210,31,54,22,20,28,19
211,30,51,17,21,22,17
212,32,46,18,16,32,19
213,40,57,19,15,34,25
214,32,45,13,15,30,15
215,32,49,20,17,27,21
216,32,49,17,18,28,16
217,33,51,14,18,32,18
218,39,56,25,23,34,15
219,32,48,23,17,35,21
220,39,53,23,22,26,18
221,31,57,24,22,35,21
222,40,60,25,19,35,21
223,35,51,18,20,32,18
224,39,58,24,20,37,19
225,32,45,19,18,30,17
226,36,51,22,20,26,21
227,33,54,22,17,30,20
228,26,57,19,19,28,20
229,37,54,24,18,35,19
230,38,56,23,22,33,20
231,40,58,19,22,29,22
232,40,59,24,22,34,24
233,32,49,22,18,32,22
234,30,50,14,16,28,19
235,37,47,23,17,29,15
236,27,46,21,15,31,12
237,39,54,24,17,35,19
238,35,55,19,17,27,17
239,32,48,24,20,30,18
240,40,60,24,21,33,21
241,33,51,17,20,24,18
242,32,48,23,16,23,17
243,25,47,21,15,25,17
244,40,60,23,23,28,22
245,31,54,22,17,36,23
246,29,52,23,21,26,18
247,37,50,22,18,31,20
248,27,48,19,18,26,16
249,33,53,23,16,33,21
250,29,48,21,18,23,15
251,37,55,20,21,28,19
252,32,46,15,14,33,18
253,36,50,22,21,30,23
254,37,56,24,24,30,18
255,36,56,24,20,32,20
256,31,48,20,14,30,19
257,30,53,13,17,26,19
258,28,49,18,18,26,15
259,32,51,13,22,27,18
260,32,50,22,18,34,22
261,31,48,24,19,28,16
262,30,47,20,23,33,19
263,38,50,20,19,31,21
264,33,53,16,21,33,17
